Date,Sentiment_avg,Last_valid_sentiment,Last_valid_date,Days_since_last_valid,Decayed_sentiment
2020-07-19,,2.0,2020-06-09,40,2.9999999979388465
2020-07-20,,2.0,2020-06-09,41,2.999999998749847
2020-07-21,,2.0,2020-06-09,42,2.999999999241744
2020-07-22,,2.0,2020-06-09,43,2.9999999995400946
2020-07-23,,2.0,2020-06-09,44,2.9999999997210534
2020-07-24,,2.0,2020-06-09,45,2.99999999983081
2020-07-25,,2.0,2020-06-09,46,2.999999999897381
2020-07-26,,2.0,2020-06-09,47,2.9999999999377587
2020-07-27,,2.0,2020-06-09,48,2.999999999962249
2020-07-28,,2.0,2020-06-09,49,2.9999999999771028
2020-07-29,,2.0,2020-06-09,50,2.999999999986112
2020-07-30,,2.0,2020-06-09,51,2.9999999999915765
2020-07-31,,2.0,2020-06-09,52,2.9999999999948908
2020-08-01,,2.0,2020-06-09,53,2.999999999996901
2020-08-02,,2.0,2020-06-09,54,2.9999999999981206
2020-08-03,,2.0,2020-06-09,55,2.99999999999886
2020-08-04,,2.0,2020-06-09,56,2.9999999999993086
2020-08-05,4.5,4.5,2020-08-05,0,4.5
2020-08-06,2.6666666666666665,2.6666666666666665,2020-08-06,0,2.6666666666666665
2020-08-07,,2.6666666666666665,2020-08-06,1,2.7978231134291223
2020-08-08,,2.6666666666666665,2020-08-06,2,2.8773735196095194
2020-08-09,,2.6666666666666665,2020-08-06,3,2.9256232799505235
2020-08-10,2.0,2.0,2020-08-10,0,2.0
2020-08-11,,2.0,2020-08-10,1,2.393469340287367
2020-08-12,2.0,2.0,2020-08-12,0,2.0
2020-08-13,4.0,4.0,2020-08-13,0,4.0
2020-08-14,3.0,3.0,2020-08-14,0,3.0
2020-08-15,,3.0,2020-08-14,1,3.0
2020-08-16,3.0,3.0,2020-08-16,0,3.0
2020-08-17,,3.0,2020-08-16,1,3.0
2020-08-18,,3.0,2020-08-16,2,3.0
2020-08-19,,3.0,2020-08-16,3,3.0
2020-08-20,,3.0,2020-08-16,4,3.0
2020-08-21,,3.0,2020-08-16,5,3.0
2020-08-22,,3.0,2020-08-16,6,3.0
2020-08-23,,3.0,2020-08-16,7,3.0
2020-08-24,,3.0,2020-08-16,8,3.0
2020-08-25,,3.0,2020-08-16,9,3.0
2020-08-26,,3.0,2020-08-16,10,3.0
2020-08-27,,3.0,2020-08-16,11,3.0
2020-08-28,,3.0,2020-08-16,12,3.0
2020-08-29,,3.0,2020-08-16,13,3.0
2020-08-30,,3.0,2020-08-16,14,3.0
2020-08-31,,3.0,2020-08-16,15,3.0
2020-09-01,,3.0,2020-08-16,16,3.0
2020-09-02,,3.0,2020-08-16,17,3.0
2020-09-03,,3.0,2020-08-16,18,3.0
2020-09-04,,3.0,2020-08-16,19,3.0
2020-09-05,,3.0,2020-08-16,20,3.0
2020-09-06,,3.0,2020-08-16,21,3.0
2020-09-07,1.0,1.0,2020-09-07,0,1.0
2020-09-08,,1.0,2020-09-07,1,1.7869386805747332
2020-09-09,,1.0,2020-09-07,2,2.2642411176571153
2020-09-10,,1.0,2020-09-07,3,2.55373967970314
2020-09-11,,1.0,2020-09-07,4,2.7293294335267744
2020-09-12,,1.0,2020-09-07,5,2.8358300027522025
2020-09-13,,1.0,2020-09-07,6,2.9004258632642723
2020-09-14,,1.0,2020-09-07,7,2.939605233155363
2020-09-15,,1.0,2020-09-07,8,2.9633687222225316
2020-09-16,,1.0,2020-09-07,9,2.9777820069235155
2020-09-17,,1.0,2020-09-07,10,2.9865241060018293
2020-09-18,,1.0,2020-09-07,11,2.991826457123072
2020-09-19,,1.0,2020-09-07,12,2.9950424956466675
2020-09-20,,1.0,2020-09-07,13,2.996993121614045
2020-09-21,1.0,1.0,2020-09-21,0,1.0
2020-09-22,,1.0,2020-09-21,1,1.7869386805747332
2020-09-23,5.0,5.0,2020-09-23,0,5.0
2020-09-24,4.0,4.0,2020-09-24,0,4.0
2020-09-25,,4.0,2020-09-24,1,3.606530659712633
2020-09-26,,4.0,2020-09-24,2,3.3678794411714423
2020-09-27,,4.0,2020-09-24,3,3.22313016014843
2020-09-28,,4.0,2020-09-24,4,3.135335283236613
2020-09-29,,4.0,2020-09-24,5,3.0820849986238987
2020-09-30,,4.0,2020-09-24,6,3.049787068367864
2020-10-01,,4.0,2020-09-24,7,3.0301973834223186
2020-10-02,,4.0,2020-09-24,8,3.018315638888734
2020-10-03,,4.0,2020-09-24,9,3.0111089965382423
2020-10-04,,4.0,2020-09-24,10,3.0067379469990856
2020-10-05,,4.0,2020-09-24,11,3.0040867714384643
2020-10-06,,4.0,2020-09-24,12,3.0024787521766663
2020-10-07,,4.0,2020-09-24,13,3.0015034391929776
2020-10-08,,4.0,2020-09-24,14,3.0009118819655547
2020-10-09,2.0,2.0,2020-10-09,0,2.0
2020-10-10,,2.0,2020-10-09,1,2.393469340287367
2020-10-11,,2.0,2020-10-09,2,2.6321205588285577
2020-10-12,,2.0,2020-10-09,3,2.77686983985157
2020-10-13,4.0,4.0,2020-10-13,0,4.0
2020-10-14,3.25,3.25,2020-10-14,0,3.25
2020-10-15,2.5,2.5,2020-10-15,0,2.5
2020-10-16,,2.5,2020-10-15,1,2.6967346701436834
2020-10-17,,2.5,2020-10-15,2,2.8160602794142786
2020-10-18,,2.5,2020-10-15,3,2.888434919925785
2020-10-19,,2.5,2020-10-15,4,2.932332358381694
2020-10-20,,2.5,2020-10-15,5,2.9589575006880504
2020-10-21,1.0,1.0,2020-10-21,0,1.0
2020-10-22,4.0,4.0,2020-10-22,0,4.0
2020-10-23,,4.0,2020-10-22,1,3.606530659712633
2020-10-24,,4.0,2020-10-22,2,3.3678794411714423
2020-10-25,,4.0,2020-10-22,3,3.22313016014843
2020-10-26,,4.0,2020-10-22,4,3.135335283236613
2020-10-27,1.0,1.0,2020-10-27,0,1.0
2020-10-28,5.0,5.0,2020-10-28,0,5.0
2020-10-29,,5.0,2020-10-28,1,4.213061319425266
2020-10-30,,5.0,2020-10-28,2,3.7357588823428847
2020-10-31,,5.0,2020-10-28,3,3.44626032029686
2020-11-01,,5.0,2020-10-28,4,3.2706705664732256
2020-11-02,,5.0,2020-10-28,5,3.1641699972477975
2020-11-03,,5.0,2020-10-28,6,3.0995741367357277
2020-11-04,,5.0,2020-10-28,7,3.060394766844637
2020-11-05,,5.0,2020-10-28,8,3.0366312777774684
2020-11-06,,5.0,2020-10-28,9,3.0222179930764845
2020-11-07,,5.0,2020-10-28,10,3.0134758939981707
2020-11-08,,5.0,2020-10-28,11,3.008173542876928
2020-11-09,,5.0,2020-10-28,12,3.0049575043533325
2020-11-10,,5.0,2020-10-28,13,3.003006878385955
2020-11-11,,5.0,2020-10-28,14,3.001823763931109
2020-11-12,,5.0,2020-10-28,15,3.0011061687402956
2020-11-13,,5.0,2020-10-28,16,3.000670925255805
2020-11-14,,5.0,2020-10-28,17,3.0004069367380213
2020-11-15,,5.0,2020-10-28,18,3.0002468196081735
2020-11-16,,5.0,2020-10-28,19,3.0001497036597753
2020-11-17,,5.0,2020-10-28,20,3.000090799859525
2020-11-18,,5.0,2020-10-28,21,3.0000550728986997
2020-11-19,,5.0,2020-10-28,22,3.0000334034015803
2020-11-20,,5.0,2020-10-28,23,3.0000202601871973
2020-11-21,,5.0,2020-10-28,24,3.0000122884247067
2020-11-22,,5.0,2020-10-28,25,3.000007453306344
2020-11-23,,5.0,2020-10-28,26,3.000004520658814
2020-11-24,,5.0,2020-10-28,27,3.000002741918173
2020-11-25,,5.0,2020-10-28,28,3.0000016630574384
2020-11-26,,5.0,2020-10-28,29,3.000001008695325
2020-11-27,,5.0,2020-10-28,30,3.000000611804641
2020-11-28,,5.0,2020-10-28,31,3.0000003710782726
2020-11-29,,5.0,2020-10-28,32,3.0000002250703495
2020-11-30,2.0,2.0,2020-11-30,0,2.0
2020-12-01,3.5,3.5,2020-12-01,0,3.5
2020-12-02,,3.5,2020-12-01,1,3.3032653298563166
2020-12-03,5.0,5.0,2020-12-03,0,5.0
2020-12-04,4.0,4.0,2020-12-04,0,4.0
2020-12-05,,4.0,2020-12-04,1,3.606530659712633
2020-12-06,,4.0,2020-12-04,2,3.3678794411714423
2020-12-07,,4.0,2020-12-04,3,3.22313016014843
2020-12-08,3.0,3.0,2020-12-08,0,3.0
2020-12-09,,3.0,2020-12-08,1,3.0
2020-12-10,,3.0,2020-12-08,2,3.0
2020-12-11,3.0,3.0,2020-12-11,0,3.0
2020-12-12,,3.0,2020-12-11,1,3.0
2020-12-13,,3.0,2020-12-11,2,3.0
2020-12-14,,3.0,2020-12-11,3,3.0
2020-12-15,2.0,2.0,2020-12-15,0,2.0
2020-12-16,,2.0,2020-12-15,1,2.393469340287367
2020-12-17,,2.0,2020-12-15,2,2.6321205588285577
2020-12-18,,2.0,2020-12-15,3,2.77686983985157
2020-12-19,,2.0,2020-12-15,4,2.864664716763387
2020-12-20,,2.0,2020-12-15,5,2.9179150013761013
2020-12-21,,2.0,2020-12-15,6,2.950212931632136
2020-12-22,,2.0,2020-12-15,7,2.9698026165776814
2020-12-23,,2.0,2020-12-15,8,2.981684361111266
2020-12-24,,2.0,2020-12-15,9,2.9888910034617577
2020-12-25,,2.0,2020-12-15,10,2.9932620530009144
2020-12-26,,2.0,2020-12-15,11,2.9959132285615357
2020-12-27,,2.0,2020-12-15,12,2.9975212478233337
2020-12-28,,2.0,2020-12-15,13,2.9984965608070224
2020-12-29,,2.0,2020-12-15,14,2.9990881180344453
2020-12-30,5.0,5.0,2020-12-30,0,5.0
2020-12-31,2.0,2.0,2020-12-31,0,2.0
2021-01-01,,2.0,2020-12-31,1,2.393469340287367
2021-01-02,,2.0,2020-12-31,2,2.6321205588285577
2021-01-03,,2.0,2020-12-31,3,2.77686983985157
2021-01-04,,2.0,2020-12-31,4,2.864664716763387
2021-01-05,3.0,3.0,2021-01-05,0,3.0
2021-01-06,,3.0,2021-01-05,1,3.0
2021-01-07,1.0,1.0,2021-01-07,0,1.0
2021-01-08,,1.0,2021-01-07,1,1.7869386805747332
2021-01-09,,1.0,2021-01-07,2,2.2642411176571153
2021-01-10,,1.0,2021-01-07,3,2.55373967970314
2021-01-11,,1.0,2021-01-07,4,2.7293294335267744
2021-01-12,,1.0,2021-01-07,5,2.8358300027522025
2021-01-13,,1.0,2021-01-07,6,2.9004258632642723
2021-01-14,,1.0,2021-01-07,7,2.939605233155363
2021-01-15,,1.0,2021-01-07,8,2.9633687222225316
2021-01-16,,1.0,2021-01-07,9,2.9777820069235155
2021-01-17,,1.0,2021-01-07,10,2.9865241060018293
2021-01-18,,1.0,2021-01-07,11,2.991826457123072
2021-01-19,,1.0,2021-01-07,12,2.9950424956466675
2021-01-20,3.3333333333333335,3.3333333333333335,2021-01-20,0,3.3333333333333335
2021-01-21,2.6666666666666665,2.6666666666666665,2021-01-21,0,2.6666666666666665
2021-01-22,4.0,4.0,2021-01-22,0,4.0
2021-01-23,,4.0,2021-01-22,1,3.606530659712633
2021-01-24,,4.0,2021-01-22,2,3.3678794411714423
2021-01-25,,4.0,2021-01-22,3,3.22313016014843
2021-01-26,2.0,2.0,2021-01-26,0,2.0
2021-01-27,,2.0,2021-01-26,1,2.393469340287367
2021-01-28,1.0,1.0,2021-01-28,0,1.0
2021-01-29,,1.0,2021-01-28,1,1.7869386805747332
2021-01-30,,1.0,2021-01-28,2,2.2642411176571153
2021-01-31,,1.0,2021-01-28,3,2.55373967970314
2021-02-01,,1.0,2021-01-28,4,2.7293294335267744
2021-02-02,,1.0,2021-01-28,5,2.8358300027522025
2021-02-03,,1.0,2021-01-28,6,2.9004258632642723
2021-02-04,,1.0,2021-01-28,7,2.939605233155363
2021-02-05,,1.0,2021-01-28,8,2.9633687222225316
2021-02-06,,1.0,2021-01-28,9,2.9777820069235155
2021-02-07,,1.0,2021-01-28,10,2.9865241060018293
2021-02-08,,1.0,2021-01-28,11,2.991826457123072
2021-02-09,,1.0,2021-01-28,12,2.9950424956466675
2021-02-10,,1.0,2021-01-28,13,2.996993121614045
2021-02-11,2.5,2.5,2021-02-11,0,2.5
2021-02-12,,2.5,2021-02-11,1,2.6967346701436834
2021-02-13,,2.5,2021-02-11,2,2.8160602794142786
2021-02-14,,2.5,2021-02-11,3,2.888434919925785
2021-02-15,,2.5,2021-02-11,4,2.932332358381694
2021-02-16,,2.5,2021-02-11,5,2.9589575006880504
2021-02-17,,2.5,2021-02-11,6,2.975106465816068
2021-02-18,,2.5,2021-02-11,7,2.984901308288841
2021-02-19,1.0,1.0,2021-02-19,0,1.0
2021-02-20,,1.0,2021-02-19,1,1.7869386805747332
2021-02-21,5.0,5.0,2021-02-21,0,5.0
2021-02-22,,5.0,2021-02-21,1,4.213061319425266
2021-02-23,,5.0,2021-02-21,2,3.7357588823428847
2021-02-24,,5.0,2021-02-21,3,3.44626032029686
2021-02-25,,5.0,2021-02-21,4,3.2706705664732256
2021-02-26,,5.0,2021-02-21,5,3.1641699972477975
2021-02-27,,5.0,2021-02-21,6,3.0995741367357277
2021-02-28,,5.0,2021-02-21,7,3.060394766844637
2021-03-01,,5.0,2021-02-21,8,3.0366312777774684
2021-03-02,,5.0,2021-02-21,9,3.0222179930764845
2021-03-03,3.5,3.5,2021-03-03,0,3.5
2021-03-04,2.0,2.0,2021-03-04,0,2.0
2021-03-05,3.0,3.0,2021-03-05,0,3.0
2021-03-06,,3.0,2021-03-05,1,3.0
2021-03-07,,3.0,2021-03-05,2,3.0
2021-03-08,,3.0,2021-03-05,3,3.0
2021-03-09,,3.0,2021-03-05,4,3.0
2021-03-10,,3.0,2021-03-05,5,3.0
2021-03-11,1.0,1.0,2021-03-11,0,1.0
2021-03-12,,1.0,2021-03-11,1,1.7869386805747332
2021-03-13,,1.0,2021-03-11,2,2.2642411176571153
2021-03-14,,1.0,2021-03-11,3,2.55373967970314
2021-03-15,,1.0,2021-03-11,4,2.7293294335267744
2021-03-16,,1.0,2021-03-11,5,2.8358300027522025
2021-03-17,4.0,4.0,2021-03-17,0,4.0
2021-03-18,3.0,3.0,2021-03-18,0,3.0
2021-03-19,,3.0,2021-03-18,1,3.0
2021-03-20,,3.0,2021-03-18,2,3.0
2021-03-21,,3.0,2021-03-18,3,3.0
2021-03-22,,3.0,2021-03-18,4,3.0
2021-03-23,5.0,5.0,2021-03-23,0,5.0
2021-03-24,3.0,3.0,2021-03-24,0,3.0
2021-03-25,4.0,4.0,2021-03-25,0,4.0
2021-03-26,3.0,3.0,2021-03-26,0,3.0
2021-03-27,,3.0,2021-03-26,1,3.0
2021-03-28,,3.0,2021-03-26,2,3.0
2021-03-29,,3.0,2021-03-26,3,3.0
2021-03-30,3.0,3.0,2021-03-30,0,3.0
2021-03-31,,3.0,2021-03-30,1,3.0
2021-04-01,2.0,2.0,2021-04-01,0,2.0
2021-04-02,,2.0,2021-04-01,1,2.393469340287367
2021-04-03,,2.0,2021-04-01,2,2.6321205588285577
2021-04-04,,2.0,2021-04-01,3,2.77686983985157
2021-04-05,4.0,4.0,2021-04-05,0,4.0
2021-04-06,2.0,2.0,2021-04-06,0,2.0
2021-04-07,,2.0,2021-04-06,1,2.393469340287367
2021-04-08,1.0,1.0,2021-04-08,0,1.0
2021-04-09,4.0,4.0,2021-04-09,0,4.0
2021-04-10,,4.0,2021-04-09,1,3.606530659712633
2021-04-11,3.0,3.0,2021-04-11,0,3.0
2021-04-12,,3.0,2021-04-11,1,3.0
2021-04-13,,3.0,2021-04-11,2,3.0
2021-04-14,3.5,3.5,2021-04-14,0,3.5
2021-04-15,4.4,4.4,2021-04-15,0,4.4
2021-04-16,3.5,3.5,2021-04-16,0,3.5
2021-04-17,,3.5,2021-04-16,1,3.3032653298563166
2021-04-18,,3.5,2021-04-16,2,3.1839397205857214
2021-04-19,5.0,5.0,2021-04-19,0,5.0
2021-04-20,,5.0,2021-04-19,1,4.213061319425266
2021-04-21,5.0,5.0,2021-04-21,0,5.0
2021-04-22,,5.0,2021-04-21,1,4.213061319425266
2021-04-23,,5.0,2021-04-21,2,3.7357588823428847
2021-04-24,,5.0,2021-04-21,3,3.44626032029686
2021-04-25,,5.0,2021-04-21,4,3.2706705664732256
2021-04-26,,5.0,2021-04-21,5,3.1641699972477975
2021-04-27,,5.0,2021-04-21,6,3.0995741367357277
2021-04-28,,5.0,2021-04-21,7,3.060394766844637
2021-04-29,5.0,5.0,2021-04-29,0,5.0
2021-04-30,1.5,1.5,2021-04-30,0,1.5
2021-05-01,,1.5,2021-04-30,1,2.0902040104310498
2021-05-02,,1.5,2021-04-30,2,2.4481808382428367
2021-05-03,,1.5,2021-04-30,3,2.665304759777355
2021-05-04,,1.5,2021-04-30,4,2.796997075145081
2021-05-05,,1.5,2021-04-30,5,2.8768725020641517
2021-05-06,,1.5,2021-04-30,6,2.925319397448204
2021-05-07,,1.5,2021-04-30,7,2.9547039248665223
2021-05-08,,1.5,2021-04-30,8,2.9725265416668987
2021-05-09,,1.5,2021-04-30,9,2.9833365051926366
2021-05-10,3.25,3.25,2021-05-10,0,3.25
2021-05-11,,3.25,2021-05-10,1,3.1516326649281585
2021-05-12,2.0,2.0,2021-05-12,0,2.0
2021-05-13,3.0,3.0,2021-05-13,0,3.0
2021-05-14,,3.0,2021-05-13,1,3.0
2021-05-15,,3.0,2021-05-13,2,3.0
2021-05-16,,3.0,2021-05-13,3,3.0
2021-05-17,,3.0,2021-05-13,4,3.0
2021-05-18,,3.0,2021-05-13,5,3.0
2021-05-19,,3.0,2021-05-13,6,3.0
2021-05-20,2.5,2.5,2021-05-20,0,2.5
2021-05-21,,2.5,2021-05-20,1,2.6967346701436834
2021-05-22,,2.5,2021-05-20,2,2.8160602794142786
2021-05-23,,2.5,2021-05-20,3,2.888434919925785
2021-05-24,,2.5,2021-05-20,4,2.932332358381694
2021-05-25,,2.5,2021-05-20,5,2.9589575006880504
2021-05-26,,2.5,2021-05-20,6,2.975106465816068
2021-05-27,5.0,5.0,2021-05-27,0,5.0
2021-05-28,2.0,2.0,2021-05-28,0,2.0
2021-05-29,,2.0,2021-05-28,1,2.393469340287367
2021-05-30,3.0,3.0,2021-05-30,0,3.0
2021-05-31,,3.0,2021-05-30,1,3.0
2021-06-01,4.0,4.0,2021-06-01,0,4.0
2021-06-02,,4.0,2021-06-01,1,3.606530659712633
2021-06-03,,4.0,2021-06-01,2,3.3678794411714423
2021-06-04,5.0,5.0,2021-06-04,0,5.0
2021-06-05,,5.0,2021-06-04,1,4.213061319425266
2021-06-06,4.0,4.0,2021-06-06,0,4.0
2021-06-07,,4.0,2021-06-06,1,3.606530659712633
2021-06-08,,4.0,2021-06-06,2,3.3678794411714423
2021-06-09,,4.0,2021-06-06,3,3.22313016014843
2021-06-10,2.5,2.5,2021-06-10,0,2.5
2021-06-11,,2.5,2021-06-10,1,2.6967346701436834
2021-06-12,,2.5,2021-06-10,2,2.8160602794142786
2021-06-13,,2.5,2021-06-10,3,2.888434919925785
2021-06-14,,2.5,2021-06-10,4,2.932332358381694
2021-06-15,1.0,1.0,2021-06-15,0,1.0
2021-06-16,,1.0,2021-06-15,1,1.7869386805747332
2021-06-17,4.0,4.0,2021-06-17,0,4.0
2021-06-18,4.0,4.0,2021-06-18,0,4.0
2021-06-19,,4.0,2021-06-18,1,3.606530659712633
2021-06-20,,4.0,2021-06-18,2,3.3678794411714423
2021-06-21,4.0,4.0,2021-06-21,0,4.0
2021-06-22,2.0,2.0,2021-06-22,0,2.0
2021-06-23,3.0,3.0,2021-06-23,0,3.0
2021-06-24,,3.0,2021-06-23,1,3.0
2021-06-25,,3.0,2021-06-23,2,3.0
2021-06-26,,3.0,2021-06-23,3,3.0
2021-06-27,,3.0,2021-06-23,4,3.0
2021-06-28,,3.0,2021-06-23,5,3.0
2021-06-29,,3.0,2021-06-23,6,3.0
2021-06-30,4.0,4.0,2021-06-30,0,4.0
2021-07-01,,4.0,2021-06-30,1,3.606530659712633
2021-07-02,,4.0,2021-06-30,2,3.3678794411714423
2021-07-03,,4.0,2021-06-30,3,3.22313016014843
2021-07-04,,4.0,2021-06-30,4,3.135335283236613
2021-07-05,,4.0,2021-06-30,5,3.0820849986238987
2021-07-06,,4.0,2021-06-30,6,3.049787068367864
2021-07-07,,4.0,2021-06-30,7,3.0301973834223186
2021-07-08,,4.0,2021-06-30,8,3.018315638888734
2021-07-09,,4.0,2021-06-30,9,3.0111089965382423
2021-07-10,,4.0,2021-06-30,10,3.0067379469990856
2021-07-11,3.0,3.0,2021-07-11,0,3.0
2021-07-12,2.0,2.0,2021-07-12,0,2.0
2021-07-13,,2.0,2021-07-12,1,2.393469340287367
2021-07-14,5.0,5.0,2021-07-14,0,5.0
2021-07-15,4.0,4.0,2021-07-15,0,4.0
2021-07-16,1.0,1.0,2021-07-16,0,1.0
2021-07-17,,1.0,2021-07-16,1,1.7869386805747332
2021-07-18,,1.0,2021-07-16,2,2.2642411176571153
2021-07-19,5.0,5.0,2021-07-19,0,5.0
2021-07-20,4.0,4.0,2021-07-20,0,4.0
2021-07-21,,4.0,2021-07-20,1,3.606530659712633
2021-07-22,3.0,3.0,2021-07-22,0,3.0
2021-07-23,1.5,1.5,2021-07-23,0,1.5
2021-07-24,,1.5,2021-07-23,1,2.0902040104310498
2021-07-25,1.0,1.0,2021-07-25,0,1.0
2021-07-26,4.0,4.0,2021-07-26,0,4.0
2021-07-27,,4.0,2021-07-26,1,3.606530659712633
2021-07-28,,4.0,2021-07-26,2,3.3678794411714423
2021-07-29,,4.0,2021-07-26,3,3.22313016014843
2021-07-30,,4.0,2021-07-26,4,3.135335283236613
2021-07-31,,4.0,2021-07-26,5,3.0820849986238987
2021-08-01,,4.0,2021-07-26,6,3.049787068367864
2021-08-02,3.0,3.0,2021-08-02,0,3.0
2021-08-03,,3.0,2021-08-02,1,3.0
2021-08-04,2.0,2.0,2021-08-04,0,2.0
2021-08-05,1.0,1.0,2021-08-05,0,1.0
2021-08-06,4.5,4.5,2021-08-06,0,4.5
2021-08-07,,4.5,2021-08-06,1,3.9097959895689502
2021-08-08,,4.5,2021-08-06,2,3.5518191617571633
2021-08-09,,4.5,2021-08-06,3,3.334695240222645
2021-08-10,,4.5,2021-08-06,4,3.203002924854919
2021-08-11,,4.5,2021-08-06,5,3.1231274979358483
2021-08-12,3.0,3.0,2021-08-12,0,3.0
2021-08-13,,3.0,2021-08-12,1,3.0
2021-08-14,,3.0,2021-08-12,2,3.0
2021-08-15,,3.0,2021-08-12,3,3.0
2021-08-16,,3.0,2021-08-12,4,3.0
2021-08-17,,3.0,2021-08-12,5,3.0
2021-08-18,,3.0,2021-08-12,6,3.0
2021-08-19,1.0,1.0,2021-08-19,0,1.0
2021-08-20,1.6666666666666667,1.6666666666666667,2021-08-20,0,1.6666666666666667
2021-08-21,,1.6666666666666667,2021-08-20,1,2.191292453716489
2021-08-22,3.0,3.0,2021-08-22,0,3.0
2021-08-23,5.0,5.0,2021-08-23,0,5.0
2021-08-24,,5.0,2021-08-23,1,4.213061319425266
2021-08-25,,5.0,2021-08-23,2,3.7357588823428847
2021-08-26,,5.0,2021-08-23,3,3.44626032029686
2021-08-27,4.0,4.0,2021-08-27,0,4.0
2021-08-28,,4.0,2021-08-27,1,3.606530659712633
2021-08-29,,4.0,2021-08-27,2,3.3678794411714423
2021-08-30,,4.0,2021-08-27,3,3.22313016014843
2021-08-31,,4.0,2021-08-27,4,3.135335283236613
2021-09-01,,4.0,2021-08-27,5,3.0820849986238987
2021-09-02,,4.0,2021-08-27,6,3.049787068367864
2021-09-03,,4.0,2021-08-27,7,3.0301973834223186
2021-09-04,,4.0,2021-08-27,8,3.018315638888734
2021-09-05,,4.0,2021-08-27,9,3.0111089965382423
2021-09-06,,4.0,2021-08-27,10,3.0067379469990856
2021-09-07,,4.0,2021-08-27,11,3.0040867714384643
2021-09-08,4.5,4.5,2021-09-08,0,4.5
2021-09-09,,4.5,2021-09-08,1,3.9097959895689502
2021-09-10,2.5,2.5,2021-09-10,0,2.5
2021-09-11,,2.5,2021-09-10,1,2.6967346701436834
2021-09-12,,2.5,2021-09-10,2,2.8160602794142786
2021-09-13,4.0,4.0,2021-09-13,0,4.0
2021-09-14,,4.0,2021-09-13,1,3.606530659712633
2021-09-15,4.0,4.0,2021-09-15,0,4.0
2021-09-16,5.0,5.0,2021-09-16,0,5.0
2021-09-17,,5.0,2021-09-16,1,4.213061319425266
2021-09-18,,5.0,2021-09-16,2,3.7357588823428847
2021-09-19,,5.0,2021-09-16,3,3.44626032029686
2021-09-20,3.5,3.5,2021-09-20,0,3.5
2021-09-21,3.3333333333333335,3.3333333333333335,2021-09-21,0,3.3333333333333335
2021-09-22,2.0,2.0,2021-09-22,0,2.0
2021-09-23,3.0,3.0,2021-09-23,0,3.0
2021-09-24,,3.0,2021-09-23,1,3.0
2021-09-25,,3.0,2021-09-23,2,3.0
2021-09-26,,3.0,2021-09-23,3,3.0
2021-09-27,3.0,3.0,2021-09-27,0,3.0
2021-09-28,,3.0,2021-09-27,1,3.0
2021-09-29,,3.0,2021-09-27,2,3.0
2021-09-30,2.5,2.5,2021-09-30,0,2.5
2021-10-01,,2.5,2021-09-30,1,2.6967346701436834
2021-10-02,,2.5,2021-09-30,2,2.8160602794142786
2021-10-03,,2.5,2021-09-30,3,2.888434919925785
2021-10-04,,2.5,2021-09-30,4,2.932332358381694
2021-10-05,3.3333333333333335,3.3333333333333335,2021-10-05,0,3.3333333333333335
2021-10-06,2.5,2.5,2021-10-06,0,2.5
2021-10-07,,2.5,2021-10-06,1,2.6967346701436834
2021-10-08,1.0,1.0,2021-10-08,0,1.0
2021-10-09,,1.0,2021-10-08,1,1.7869386805747332
2021-10-10,2.0,2.0,2021-10-10,0,2.0
2021-10-11,,2.0,2021-10-10,1,2.393469340287367
2021-10-12,,2.0,2021-10-10,2,2.6321205588285577
2021-10-13,3.0,3.0,2021-10-13,0,3.0
2021-10-14,4.25,4.25,2021-10-14,0,4.25
2021-10-15,3.0,3.0,2021-10-15,0,3.0
2021-10-16,5.0,5.0,2021-10-16,0,5.0
2021-10-17,,5.0,2021-10-16,1,4.213061319425266
2021-10-18,,5.0,2021-10-16,2,3.7357588823428847
2021-10-19,,5.0,2021-10-16,3,3.44626032029686
2021-10-20,,5.0,2021-10-16,4,3.2706705664732256
2021-10-21,5.0,5.0,2021-10-21,0,5.0
2021-10-22,3.5,3.5,2021-10-22,0,3.5
2021-10-23,,3.5,2021-10-22,1,3.3032653298563166
2021-10-24,,3.5,2021-10-22,2,3.1839397205857214
2021-10-25,,3.5,2021-10-22,3,3.111565080074215
2021-10-26,2.0,2.0,2021-10-26,0,2.0
2021-10-27,4.0,4.0,2021-10-27,0,4.0
2021-10-28,,4.0,2021-10-27,1,3.606530659712633
2021-10-29,,4.0,2021-10-27,2,3.3678794411714423
2021-10-30,,4.0,2021-10-27,3,3.22313016014843
2021-10-31,,4.0,2021-10-27,4,3.135335283236613
2021-11-01,,4.0,2021-10-27,5,3.0820849986238987
2021-11-02,,4.0,2021-10-27,6,3.049787068367864
2021-11-03,,4.0,2021-10-27,7,3.0301973834223186
2021-11-04,,4.0,2021-10-27,8,3.018315638888734
2021-11-05,,4.0,2021-10-27,9,3.0111089965382423
2021-11-06,,4.0,2021-10-27,10,3.0067379469990856
2021-11-07,3.5,3.5,2021-11-07,0,3.5
2021-11-08,,3.5,2021-11-07,1,3.3032653298563166
2021-11-09,,3.5,2021-11-07,2,3.1839397205857214
2021-11-10,,3.5,2021-11-07,3,3.111565080074215
2021-11-11,3.0,3.0,2021-11-11,0,3.0
2021-11-12,,3.0,2021-11-11,1,3.0
2021-11-13,,3.0,2021-11-11,2,3.0
2021-11-14,,3.0,2021-11-11,3,3.0
2021-11-15,4.0,4.0,2021-11-15,0,4.0
